Gene	C_L_HS37	C_L_HS38	H_L_HS46	C_M_HS61	C_M_HS62	H_L_HS64	H_L_HS65	H_M_HS66	H_M_HS67	C_M_HS87	C_L_HS90	H_M_HS93
LOC116504555	15	10	2	5	0	8	5	4	0	0	4	7
EXO5	0	0	0	0	0	0	0	0	0	0	0	0
LOC116503229	0	0	0	0	0	0	0	0	0	0	0	0
METTL14	417	136	161	114	44	166	138	111	78	11	117	116
NODAL	0	0	0	0	0	0	0	0	0	0	0	0
FAM183A	42	10	13	13	4	10	7	5	0	9	6	12
LOC116503227	22	0	16	10	0	5	2	17	14	0	14	7
PEMT	3010	841	185	1191	697	464	984	628	404	539	116	1904
LOC116503221	0	0	0	0	0	0	0	0	0	0	0	0
TSKU	30	16	22	49	3	59	45	21	35	27	35	13
GPRIN2	0	0	0	0	0	0	0	0	0	0	0	0
GAL3ST2	0	0	0	0	0	0	0	0	0	0	0	0
UBE2W	96	22	38	15	7	55	21	25	42	3	19	26
UBE2T	5	6	6	0	2	13	0	0	0	0	0	0
GAL3ST1	0	0	0	0	0	0	0	0	0	0	0	0
MID1IP1	174	58	124	44	14	65	21	35	115	31	45	52
GAL3ST4	5	0	0	0	0	2	0	0	0	0	0	0
LOC116514624	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V0D2	6	12	0	0	0	0	0	0	0	0	0	2
LOC116511751	8	0	0	0	0	0	0	0	0	0	0	0
UBE2Z	244	132	103	88	23	157	60	102	40	48	81	105
LOC116511757	0	0	0	0	0	0	0	0	0	0	0	0
LOC116511754	0	0	0	0	0	0	0	0	0	0	0	0
NEGR1	0	0	0	0	0	0	0	0	0	0	0	0
UBE2F	434	173	158	135	47	249	70	135	69	28	64	88
LOC116523789	4	4	2	4	0	4	0	1	0	0	15	0
PRSS16	338	55	187	72	12	300	89	47	62	41	46	67
LOC116508641	19	14	8	3	3	5	5	14	0	0	7	6
UBE2B	150	50	321	22	10	145	114	205	26	20	33	123
UBE2C	16	2	0	0	5	4	0	0	0	0	0	4
LBX1	0	0	0	0	0	0	0	0	0	0	0	0
UBE2A	883	260	231	174	91	282	238	166	315	73	93	174
NALCN	0	0	0	0	0	0	0	0	0	0	0	0
LOC116523781	0	0	0	0	0	0	0	0	0	0	0	0
LOC116523782	0	0	0	0	0	0	0	0	0	0	0	0
UBE2M	276	91	105	85	42	125	85	70	32	88	75	76
LOC116523784	0	0	0	0	0	0	0	0	0	0	0	0
UBE2K	638	312	281	253	94	302	161	194	173	88	231	189
LOC116513893	37	0	2	2	3	5	7	0	0	0	3	0
LOC116523787	0	0	0	0	0	0	0	0	0	0	0	0
LOC116518794	2	0	2	0	0	3	0	0	0	0	0	0
PKP2	3304	856	965	952	464	1080	1015	750	327	547	764	1077
PAPLN	378	114	181	85	22	194	92	108	22	33	49	254
GFOD2	95	27	64	21	9	53	30	29	54	0	11	28
LOC116520818	7657	351	612	332	342	567	331	215	416	78	313	127
FAAH2	145	42	41	23	0	9	39	14	40	0	15	15
R3HCC1	101	35	22	28	8	22	24	10	83	0	28	22
LOC116506761	0	0	0	0	0	0	0	0	0	0	0	0
LOC116506760	0	0	0	0	0	0	0	0	0	0	0	0
LOC116506766	113	33	46	25	13	51	22	19	0	15	29	23
TIMM10B	1129	138	183	93	117	174	173	108	180	52	77	64
LOC116506764	0	0	0	0	0	0	0	0	0	0	0	0
LOC116517902	0	0	0	0	0	0	0	0	0	0	0	0
CEP192	218	95	64	29	3	117	21	23	4	6	28	26
UGDH	169	63	219	75	18	121	79	103	75	1	72	48
LOC116520478	0	0	0	0	0	3	0	0	0	0	0	0
LOC116520476	24	16	7	9	0	6	4	4	12	0	5	3
NUP107	202	79	80	52	6	68	25	47	37	23	45	46
LOC116513933	12	13	0	0	0	0	0	0	0	0	0	0
LOC116513934	6009	2730	1978	2023	1411	3477	3459	3392	2156	1992	2618	2645
LOC116503875	3229	987	1335	2447	542	1338	1279	822	2032	923	980	1167
LOC116520471	2589	455	849	1593	104	1516	348	1492	215	367	1298	429
LOC116520470	0	0	0	0	0	0	0	0	0	0	0	0
LOC116520784	1536	498	312	393	157	508	419	580	259	253	408	507
BCL7B	360	111	126	113	57	160	136	130	83	38	104	114
BCL7C	63	32	44	19	7	40	17	42	77	0	30	6
LOC116519581	0	3	279	14	37	0	1227	0	2905	66	0	0
LOC116520783	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R13B	578	222	202	221	34	286	165	216	135	69	213	202
MMS22L	0	0	3	0	0	0	0	0	0	0	0	6
LOC116508526	1	0	0	0	0	0	0	0	0	0	0	0
LOC116504171	0	0	0	0	0	0	0	0	0	0	0	0
LIMS1	58	33	68	47	3	52	57	36	22	3	22	34
GDPD1	4	7	77	0	0	2	6	5	0	0	3	33
LIMS2	516	172	161	153	62	181	159	169	113	56	124	195
LOC116507148	1544	583	573	474	171	562	402	451	261	144	410	491
LOC116507149	0	0	0	0	0	0	0	0	0	0	0	0
CSDC2	235	110	218	72	20	125	66	76	139	5	63	48
FBXL5	934	469	210	243	103	275	181	152	275	162	202	235
FBXL3	238	94	84	46	17	109	65	47	136	16	54	60
LOC116523878	0	0	0	0	0	0	0	0	0	0	0	0
LOC116523879	0	0	0	0	0	0	0	0	0	0	0	0
TEPP	31	10	5	18	3	4	11	10	9	20	10	12
LOC116507141	43	21	6	21	4	6	5	17	0	11	28	7
LOC116523875	75	22	15	9	0	13	11	6	0	8	2	8
LOC116507144	0	0	0	0	0	0	0	0	0	0	0	0
LOC116507145	734	231	136	148	55	173	136	117	80	49	76	198
LOC116523870	16	0	6	2	0	0	11	0	0	0	2	0
PRPF39	1244	554	402	459	165	687	380	358	409	160	293	423
IL17RB	279	16	29	40	7	11	6	6	64	0	50	72
LOX	51	11	35	2	5	18	17	12	2	0	2	10
LOC116520916	824	413	430	575	108	195	256	302	260	245	602	254
IL17RA	433	157	129	91	18	130	57	116	127	39	125	149
RITA1	111	26	30	26	12	36	28	15	23	0	15	18
IL17RD	0	0	0	0	0	0	0	0	0	0	0	0
IL17RE	1682	429	468	357	126	333	650	440	219	155	394	283
TRDMT1	16	4	4	1	5	2	2	5	0	2	2	2
LOC116514898	94	47	37	53	17	54	62	30	46	24	35	41
CCDC65	40	11	35	21	2	28	14	23	30	7	10	7
LOC116512502	0	0	0	0	0	0	0	0	0	0	0	0
LOC116519710	37	25	12	15	9	27	12	16	13	0	18	10
CCDC66	261	133	113	89	44	140	85	83	25	17	103	107
SNX8	551	96	65	96	34	120	62	63	108	74	63	83
SNX9	1665	686	501	439	224	642	324	650	375	363	306	450
SNX6	727	321	334	327	119	344	179	347	48	168	305	200
SNX7	7	4	11	0	0	7	10	3	0	0	12	2
SNX4	1085	448	509	320	155	450	286	265	127	209	308	384
SNX2	793	256	326	180	75	375	160	208	195	71	229	200
SNX3	827	281	226	182	95	248	173	152	189	175	103	149
AUP1	7764	867	873	897	567	1246	1297	459	1096	270	532	454
SUMF2	242	74	76	74	27	58	51	53	42	54	47	43
SWSAP1	41	14	9	28	9	14	19	8	10	15	15	12
LOC116504994	0	0	0	0	0	0	0	0	0	0	0	0
SLC37A4	1699	402	449	464	147	385	341	360	558	124	413	270
DCAF4	184	131	53	72	23	94	51	31	6	25	79	59
C3H13orf42	0	0	0	0	0	0	0	0	0	0	0	0
DCAF6	1319	507	371	331	142	538	310	446	291	75	283	300
DCAF7	327	130	80	89	47	108	64	88	104	36	91	100
DCAF1	787	255	353	255	73	352	300	320	381	91	225	376
LOC116503097	16	15	8	17	2	0	7	4	0	0	9	0
LOC116503094	171	52	52	42	12	40	17	50	14	22	29	47
LOC116504975	0	0	0	0	0	0	0	0	0	0	0	0
SMCHD1	797	537	480	722	142	401	210	380	97	330	352	281
GPS1	579	148	165	170	55	115	149	102	159	136	140	133
DPYD	2373	1046	1021	1134	331	695	642	1007	552	538	1968	1263
GPS2	3158	294	369	427	189	519	276	176	422	112	214	154
SCYL2	308	138	169	60	23	176	71	73	53	70	129	77
TESPA1	0	3	3	0	0	6	0	0	0	0	0	0
THAP12	218	41	43	33	20	60	47	24	27	6	35	26
THAP11	125	32	23	33	7	29	8	15	18	9	20	21
LOC116521789	0	0	0	0	0	0	0	0	0	0	0	0
CTTNBP2NL	148	50	245	46	15	114	104	79	7	44	43	55
LOC116521784	0	0	0	0	0	0	0	0	0	0	0	0
NAPA	7557	1880	3485	1237	691	2188	1597	1659	3533	842	3028	1922
LOC116521782	0	0	0	0	0	0	0	0	0	0	0	0
NAPG	358	158	178	133	46	179	142	129	81	145	113	171
LOC116521780	0	0	0	0	0	0	0	0	0	0	0	0
INHA	0	0	0	0	0	0	0	0	0	0	0	0
CDKL2	0	0	3	0	0	0	0	0	0	0	0	0
CDKL3	0	0	0	0	0	0	0	0	0	0	0	0
POLDIP2	3483	348	423	287	204	368	314	164	634	186	228	151
CDKL1	1128	342	306	547	136	444	319	306	392	126	247	493
LOC116521254	0	0	0	0	0	0	0	0	0	0	0	0
LOC116510488	0	0	0	0	0	25	6	0	0	0	0	0
EXOG	104	43	22	18	6	39	18	14	0	7	32	18
CDKL5	118	43	42	26	6	39	16	18	3	0	38	16
LOC116521259	0	0	0	0	0	0	0	0	0	0	0	0
PRPSAP1	302	154	138	92	22	178	88	118	57	16	83	94
LOC116510481	8	0	10	3	0	7	3	9	3	0	0	3
LOC116510482	15	0	0	2	0	0	8	12	0	0	0	0
ANGEL2	47	37	37	22	9	21	20	8	15	0	42	12
LOC116510620	5	1	2	2	1	2	2	1	10	1	2	1
NRF1	292	27	20	13	6	25	27	7	51	0	7	9
LOC116510150	116	3	4	0	15	3	4	2	25	0	5	5
TOP1MT	45	3	5	5	0	0	0	4	0	0	5	0
LOC116504199	15	4	4	3	0	8	2	7	0	0	4	2
LOC116504196	6	11	1	6	0	3	0	0	0	21	2	1
ECH1	2207	471	397	409	249	568	461	375	1131	145	279	323
LOC116503453	6	0	0	3	0	3	0	0	0	0	0	3
LOC116510158	364	148	183	149	42	154	111	93	62	29	115	109
TRNAD-GUC-2	0	0	0	0	0	0	0	0	0	0	0	1
ACTL7A	4	5	47	10	6	59	58	46	29	6	8	30
TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0
TFAP2E	0	0	0	0	0	0	0	0	0	0	0	0
TRNAD-GUC-3	0	0	0	0	0	0	0	0	0	0	0	0
NR4A1	30	55	2434	51	28	279	1063	1608	1262	25	13	95
NR4A3	9	5	761	53	11	59	258	362	468	54	3	177
NR4A2	3	11	733	0	3	40	442	292	155	43	0	18
MYBBP1A	1026	361	361	233	100	408	230	189	329	85	210	382
PANK1	2264	626	2247	351	306	1014	980	1225	2709	392	536	1902
LOC116515059	69	24	20	30	14	53	21	24	0	20	35	27
UBE2D3	5132	1258	1349	1518	517	1681	1114	906	1038	851	990	1164
LOC116515508	0	0	0	0	2	0	0	0	0	0	0	0
ZFYVE1	914	309	226	197	60	229	175	170	102	105	195	209
TRNAD-GUC-6	1	0	0	0	0	0	0	0	0	0	0	1
LOC116508129	9	3	11	4	0	0	4	0	10	0	10	0
SORT1	153	79	141	75	0	74	56	37	102	13	57	62
CSNK1G1	0	29	14	24	0	25	3	5	0	0	0	0
LOC116511639	32	16	11	16	2	17	6	9	11	1	16	10
CSNK1G3	308	95	82	65	25	122	34	61	16	31	50	60
CTNND1	5083	1644	1784	1705	582	1976	1712	1564	1595	454	1188	1486
LOC116515507	0	0	0	0	0	0	0	0	0	0	0	0
LOC116515054	9	0	0	0	0	0	0	0	0	0	2	0
LOC116506599	0	0	0	0	0	2	2	0	0	0	0	0
LOC116505825	0	0	0	1	0	0	0	0	1	1	1	0
LOC116521435	0	0	0	0	0	0	0	0	0	0	0	0
MRPS2	559	81	82	103	54	80	85	49	56	78	60	47
LOC116521437	0	0	0	0	0	0	0	0	0	0	0	0
LOC116508501	19	5	14	3	2	6	0	0	0	0	4	0
LOC116508500	0	0	0	0	0	0	0	0	0	0	3	0
LOC116505823	1498	497	434	346	147	393	219	318	366	221	465	254
MRPS7	306	180	145	156	57	223	156	171	115	39	148	220
KCNH2	1080	122	105	212	9	232	92	41	393	3	57	101
ENTPD3	0	0	0	0	15	0	0	26	0	0	0	9
ENTPD1	197	163	179	51	74	117	82	233	61	112	138	78
LOC116521438	0	0	0	0	0	0	0	0	0	0	0	0
ENTPD7	88	28	150	30	5	36	43	41	6	0	16	38
ENTPD4	486	175	176	152	52	151	140	124	263	43	142	183
ENTPD5	147	89	146	107	11	112	91	187	0	47	134	156
ZSWIM8	2055	530	609	330	190	713	477	466	825	124	306	470
ABAT	372	184	351	418	17	118	100	242	126	48	578	187
TXNL4A	166	64	84	42	19	129	47	70	17	33	50	46
TXNL4B	37	11	0	7	2	4	9	6	0	0	9	8
POLR1E	80	47	69	46	0	74	37	39	9	0	43	55
POLR1D	271	81	47	54	31	61	49	45	59	21	50	45
ZSWIM2	0	0	0	0	0	0	0	0	0	0	0	0
POLR1A	366	123	197	249	42	413	225	277	185	166	171	185
SHMT2	7879	1910	1699	2423	766	2304	2061	1752	1540	745	1506	1441
POLR1C	19	13	22	5	6	11	8	14	8	0	4	7
ZSWIM6	122	44	154	23	15	124	64	106	60	26	33	71
LOC116504332	0	0	0	0	0	0	0	0	0	0	0	0
APOOL	895	311	218	349	96	256	311	249	142	157	216	253
LOC116504447	0	0	0	0	0	0	0	0	0	0	0	0
LOC116504440	0	0	0	0	0	0	0	0	0	0	0	0
LOC116505360	11	2	3	0	1	1	1	1	3	0	2	3
KALRN	459	145	109	88	69	126	134	113	74	74	124	114
LOC116504335	0	0	0	0	0	0	0	0	0	0	0	0
GDF9	8	4	3	5	0	10	0	12	0	0	0	0
TRIQK	79	30	30	33	3	36	20	26	0	0	12	28
LOC116504338	26	14	4	4	0	10	6	6	0	0	5	3
LOC116504448	0	0	0	0	0	0	0	0	0	0	0	0
AP2S1	1085	119	169	162	85	198	146	88	213	21	111	91
LOC116514902	0	0	0	0	0	0	0	0	0	0	0	0
C12HXorf65	0	0	0	0	0	0	0	0	0	0	0	0
TRAPPC9	440	177	118	126	29	169	126	163	186	30	141	164
TTC38	1342	506	438	571	212	592	526	577	267	230	451	608
LOC116517486	61	12	17	9	0	9	6	11	11	0	11	6
LOC116502425	86	56	28	32	7	46	104	34	41	4	43	18
TTC34	0	0	0	0	0	0	0	0	0	0	0	0
LOC116519624	228	44	34	38	2	58	26	15	29	14	17	20
TTC37	328	155	199	105	9	204	136	106	52	6	127	130
LOC116519623	463039	79134	125114	156628	50708	128919	108806	129728	56067	59380	223369	149896
TTC32	66	16	29	17	4	43	9	13	17	0	6	5
TTC33	252	86	57	60	28	63	66	74	125	33	77	75
SYT5	0	0	0	0	0	0	0	0	0	0	0	0
GCK	10	0	0	0	0	3	0	0	0	0	0	0
SYT7	16	7	20	2	0	4	2	10	0	0	4	4
SYT6	0	0	0	0	0	0	0	0	0	0	0	0
SYT1	0	0	0	0	0	0	0	0	0	0	0	0
LOC116519335	0	0	0	0	0	0	0	0	0	0	0	0
SYT3	0	0	0	0	0	0	0	0	0	0	0	0
SYT2	0	0	0	0	0	0	0	0	5	0	0	0
LOC116519338	0	0	0	0	0	0	0	0	0	0	0	0
TUSC2	1102	556	512	348	121	487	323	327	299	158	320	462
GCA	1566	696	470	529	243	473	368	474	266	294	650	440
TICAM1	1141	247	305	589	128	230	268	280	183	67	282	140
SYT8	0	0	0	0	0	0	0	0	0	0	0	0
TICAM2	8	0	11	5	5	25	6	7	7	0	5	0
LOC116521922	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521923	0	0	0	0	0	0	0	0	0	0	0	0
HCK	96	22	77	17	3	170	48	17	147	0	16	25
BIN3	378	161	139	102	32	188	125	104	97	36	106	116
NADK2	1083	1269	895	1296	450	1525	787	1623	420	348	550	1731
SPSB1	33	17	63	44	16	41	60	63	25	2	3	19
SPSB3	449	124	106	116	36	109	100	76	230	63	93	103
CWF19L2	598	179	158	130	48	196	118	156	92	74	144	164
MCMBP	1569	575	423	368	153	551	433	281	373	176	358	481
CZIB	579	200	152	172	72	202	127	134	68	102	108	124
LOC116509345	0	0	0	0	0	0	0	0	0	0	0	0
DNAH11	0	0	0	0	0	0	0	0	0	0	0	0
FCSK	1943	140	184	132	91	337	199	153	348	87	77	88
DNAH10	3	0	2	0	0	0	3	0	0	0	0	0
SKP2	54	53	25	40	0	59	28	30	28	0	32	21
SKP1	556	246	279	216	77	292	198	243	142	27	235	243
CAPN7	173	74	75	80	10	77	28	64	37	11	91	79
LOC116514013	197	71	106	136	35	53	119	62	145	12	32	51
LOC116503454	10	0	0	4	0	0	4	0	0	0	0	0
CTNS	454	173	116	125	34	114	94	68	137	25	85	96
TMEM59L	0	0	5	0	0	6	0	0	0	0	0	0
APCDD1	12	0	8	4	0	0	3	0	0	0	3	10
EDN1	23	9	81	0	0	20	15	21	8	0	13	0
EDN2	39	15	18	21	9	22	30	16	0	7	13	6
NOS1	11	0	2	0	0	0	0	4	12	0	2	0
JMJD1C	1481	522	524	491	147	624	336	656	176	180	423	309
NT5C1A	0	0	0	0	0	0	0	0	0	0	0	0
TRNAV-CAC-10	0	0	0	0	0	0	0	0	0	0	0	0
VILL	0	0	27	0	0	2	45	0	21	0	0	0
LOC116502523	0	0	0	0	0	0	0	0	0	0	0	0
PEPD	3294	820	737	1089	385	942	1176	933	825	589	736	961
ZDHHC8	2106	784	430	486	202	579	457	413	291	267	400	398
LOC116503911	0	0	0	0	0	0	0	0	0	0	0	0
ZDHHC4	145	32	62	70	14	47	48	12	180	36	48	77
ZDHHC5	1016	342	325	237	83	272	187	215	164	95	223	226
KIF9	0	0	0	0	0	0	0	0	26	0	0	0
ZDHHC7	694	145	202	150	66	139	156	94	346	44	97	139
ZDHHC1	690	284	256	210	110	302	184	184	206	93	163	197
ZDHHC2	0	0	0	0	0	0	0	0	0	0	0	0
ZDHHC3	212	88	45	69	16	66	43	69	0	0	31	43
LOC116505317	0	0	0	0	0	0	0	0	0	0	0	0
NUFIP2	2755	387	410	178	155	518	285	224	441	146	164	168
NUFIP1	259	90	77	85	15	52	38	41	21	0	86	34
DQX1	1321	82	110	66	78	137	145	53	226	0	52	33
CMTR2	225	105	63	72	23	42	30	30	39	44	53	56
ADGRG2	4	3	0	2	0	28	15	7	0	0	2	0
ADGRG6	174	49	64	41	8	202	12	38	30	2	25	47
ADGRG4	0	0	0	0	0	2	0	0	0	0	0	0
SFPQ	6288	2344	1945	2009	689	2204	1277	1771	1947	566	1457	2037
LOC116503416	186	87	132	72	15	253	189	39	105	5	55	15
LOC116522009	0	0	0	0	0	0	0	0	0	0	0	0
LOC116503414	28	22	3	0	3	13	2	0	4	0	0	3
LOC116503412	216	68	126	89	35	262	136	92	48	0	48	37
LOC116503413	0	0	0	0	0	0	0	0	0	0	0	0
LOC116503410	0	2	0	0	0	4	0	0	0	0	0	0
LOC116503411	250	19	50	65	7	134	90	27	36	4	19	10
LOC116522000	0	0	0	0	0	0	0	0	0	0	0	0
FAM122B	442	131	139	103	58	140	137	92	133	31	81	108
B3GALT5	0	0	0	0	0	0	0	0	0	0	0	0
OXR1	912	332	186	164	113	292	213	212	122	127	222	208
LOC116522004	0	0	0	0	0	0	0	0	0	0	0	0
B3GALT2	2	0	3	0	0	0	2	1	2	0	0	3
LOC116503418	351	195	139	166	8	80	96	171	79	263	399	159
LOC116502899	3	1	1	2	0	1	1	2	1	1	2	1
NR3C1	2388	946	866	744	247	1189	394	877	289	390	696	425
PSTK	127	75	53	31	27	80	17	44	47	22	54	29
LOC116515885	36	12	18	0	5	0	14	10	0	0	0	0
LOC116510759	0	0	0	2	0	0	0	0	0	0	0	0
LOC116518578	0	0	0	0	0	0	0	0	0	0	0	0
PPP6C	765	236	232	194	92	264	209	116	405	104	192	178
LOC116502895	146	39	24	37	12	20	36	39	24	3	20	16
LOC116502894	3	8	0	0	0	10	0	0	0	0	0	3
LOC116502897	3786	1199	1102	1269	1040	1541	1633	2698	501	854	3306	2136
CCN4	19	11	2	12	0	5	0	20	0	0	0	3
LOC116518540	4	0	7	0	2	0	0	0	15	0	0	0
ENPP2	2752	1596	392	835	428	824	709	970	760	675	392	766
TGFB1	50	11	22	15	5	45	8	9	6	3	3	8
MIGA2	488	180	105	110	49	138	110	112	150	37	58	80
UBA2	3165	1074	873	1095	368	1219	1029	704	1086	831	735	1167
MED12	3666	384	450	269	143	384	318	174	683	138	234	181
CCN6	0	0	0	0	0	0	0	0	0	0	0	0
MPEG1	16	11	10	14	8	31	8	0	0	0	5	3
RAD51B	191	62	28	61	14	64	34	56	4	39	39	32
RAD51C	103	23	29	41	17	46	41	17	0	0	24	43
GNAL	36	7	16	10	4	28	7	15	0	2	7	8
RAD51D	7	0	0	4	0	4	4	0	0	0	3	0
GADD45GIP1	1088	317	320	297	133	273	335	252	357	163	255	248
UBA7	114	35	61	37	6	54	44	34	16	8	35	29
MAP7D3	2477	564	436	444	194	435	357	222	379	124	283	239
ENPP6	1170	1579	611	998	368	815	609	1062	367	533	1099	959
LOC116518017	0	0	0	0	0	3	0	0	0	0	0	0
SEC63	1589	676	639	513	244	623	451	431	317	178	521	488
SEC62	1352	526	517	460	216	480	427	465	464	241	400	562
LOC116513543	12	0	9	0	0	0	2	4	0	6	4	0
LOC116505735	0	0	0	0	0	0	0	0	0	0	0	0
LOC116513545	38	6	26	10	0	13	9	10	0	0	0	13
UBA5	99	24	53	30	15	40	32	42	0	0	38	38
LOC116513547	340	100	99	113	0	120	82	61	0	0	66	68
LOC116513549	0	0	0	0	0	0	0	0	0	0	0	0
RCC1L	31	13	10	11	0	17	0	9	0	0	3	18
GNAS	377	130	117	83	46	197	73	134	82	60	47	98
VPS33A	203	46	69	47	7	62	60	29	107	19	51	45
ABITRAM	156	69	79	23	19	59	16	23	14	0	28	27
AP3D1	868	355	521	286	79	416	323	339	360	80	423	417
LRRC63	10	9	8	3	0	14	6	0	0	43	12	4
LRRC61	0	0	0	0	0	0	0	0	0	0	0	0
LAD1	590	224	221	270	65	407	279	521	161	152	200	425
C5H20orf96	5	0	0	0	0	0	0	0	0	0	0	0
LRRC69	0	0	0	0	0	0	0	0	0	0	0	0
LOC116511697	0	0	0	0	0	0	0	0	0	0	0	0
FRS2	121	31	40	18	5	52	22	45	76	10	19	44
RACGAP1	3	0	8	0	0	6	10	0	0	0	4	0
TSHZ1	102	36	40	31	12	57	41	56	42	6	43	53
LOC116515567	248	90	97	82	20	92	101	103	116	30	66	83
TSHZ3	37	8	27	15	12	46	12	21	50	41	14	18
TSHZ2	52	20	33	26	15	34	24	45	5	20	28	20
SUSD2	30	0	90	26	3	14	79	3	140	0	2	2
FCER1G	80	21	35	21	11	80	15	16	3	0	18	5
SYCP1	121	51	56	40	23	98	23	75	0	67	16	39
LOC116521855	0	0	0	0	0	0	0	0	0	0	0	0
CDC123	544	239	349	162	86	332	233	281	127	329	242	455
SYCP2	0	0	0	0	0	0	0	0	0	0	0	0
PDSS1	281	123	95	79	39	160	65	88	35	43	84	81
SNRNP27	1196	445	364	412	111	435	361	289	537	158	294	447
SNRNP25	693	91	61	35	61	54	102	45	40	34	45	30
CBLN1	0	0	0	0	0	0	0	0	0	0	0	0
KDM4A	396	199	290	125	25	219	137	215	114	22	103	158
GAPDHS	5	0	0	0	0	4	0	4	15	0	0	0
LOC116514552	0	0	0	0	0	0	0	0	0	0	0	0
ISL1	0	0	0	0	0	0	0	0	0	0	0	0
LOC116520682	6543	1381	577	440	324	527	946	730	1354	322	661	1117
ISL2	0	0	0	0	0	0	0	0	0	0	0	0
TAF5L	252	109	133	61	26	112	48	82	45	78	62	72
LOC116520427	0	0	0	0	0	0	0	0	0	0	0	0
LOC116517594	64	17	0	20	36	21	32	41	0	41	54	39
TRNP1	3	2	11	2	0	1	2	3	7	0	0	1
LOC116504737	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K7	1233	615	511	399	152	576	348	379	357	179	356	372
RELB	80	44	59	16	7	66	26	12	52	0	12	19
WTIP	590	235	622	368	74	332	538	339	265	54	306	427
RELN	1103	303	292	325	82	299	111	321	283	90	307	291
MTX3	55	38	34	14	5	44	13	18	0	6	10	25
MTX1	281	73	80	50	39	78	63	47	44	16	66	27
TPGS2	15	0	0	0	0	0	6	0	0	0	0	0
SMARCAD1	104	37	42	33	8	24	17	22	0	0	27	16
LOC116507150	483	156	200	82	35	132	72	154	194	9	126	166
PMVK	778	136	167	146	60	131	169	85	298	70	84	126
RELT	8	0	2	0	0	0	0	0	0	0	0	0
MAP3K4	249	109	94	62	13	87	40	65	95	25	93	79
PRDX4	3578	980	636	1056	445	1095	867	847	845	526	969	648
ACVRL1	81	33	102	23	0	82	55	55	11	15	19	24
PRDX6	1758	1393	1054	719	465	1181	1039	1185	1086	561	914	1373
BPNT2	627	145	97	193	72	134	110	79	214	31	73	82
MAP3K3	196	110	77	62	15	110	36	74	49	24	40	63
KIAA0895L	267	51	76	74	25	81	80	62	114	13	18	45
BPNT1	660	257	217	208	111	233	176	340	103	126	310	295
HADH	4067	1445	1341	1513	528	1663	1332	1308	1490	847	1287	1399
LOC116521904	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL2	146	18	42	17	5	62	53	26	46	0	15	17
GOPC	419	146	181	103	39	205	101	140	117	39	66	146
PSTPIP1	22	4	9	11	0	46	10	0	0	0	3	4
KLHDC1	117	62	41	23	0	79	38	39	0	0	29	15
LOC116512417	3	0	19	0	0	6	5	0	0	0	0	5
LOC116512146	24	6	15	5	0	10	10	12	0	4	4	6
COBL	0	0	0	0	0	0	0	4	0	0	0	0
LOC116512412	275	0	171	0	49	0	0	0	0	0	0	0
KLHDC4	256	43	54	59	19	100	77	39	71	4	36	41
PALM	1306	750	376	171	101	274	134	167	232	167	142	270
LOC116512148	30	16	44	8	12	27	11	9	0	26	0	7
LOC116515064	421	131	74	90	44	80	64	66	134	16	76	86
LOC116523843	161	96	76	77	21	87	56	84	140	54	88	101
PRORP	70	28	43	32	4	51	25	32	0	16	42	26
C6HXorf38	0	0	0	0	0	0	0	0	0	0	3	0
CCSER2	1313	290	246	172	130	551	174	231	359	142	119	326
PDE1B	33	2	33	3	0	27	10	0	56	0	0	9
PDE1C	3	0	0	0	0	0	0	0	0	0	0	0
LOC116504735	30	36	10	66	10	35	40	34	10	32	15	31
RNF11	372	157	176	94	39	172	79	118	117	53	79	97
STAU1	2425	1529	965	1165	513	1375	863	871	1077	971	1354	1300
NHLRC3	258	91	87	86	26	80	82	90	93	36	38	79
ADAMTS14	0	0	0	0	0	0	0	0	0	0	0	0
LOC116509253	16	11	16	31	4	5	22	24	16	3	14	7
ADAMTS16	0	0	0	0	0	0	0	0	0	0	0	0
LOC116509839	2	0	1	0	0	0	1	0	0	0	0	0
ADAMTS10	151	29	44	17	33	96	57	123	15	0	6	33
LEXM	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS12	4	0	3	0	0	0	0	0	0	0	2	0
ADAMTS13	3801	566	388	484	282	352	363	338	842	375	386	273
PUS7	699	295	231	224	85	310	169	161	163	60	210	159
SGSM1	580	131	161	179	75	119	59	52	202	14	111	44
SGSM2	0	0	0	0	0	0	0	0	0	0	0	0
LOC116509259	0	0	0	0	0	0	0	2	0	0	0	0
ADAMTS18	4	2	0	0	0	2	0	0	0	0	0	0
ADAMTS19	9	8	13	0	0	12	7	10	0	0	6	0
KLHL30	0	0	0	0	0	0	0	0	0	0	0	0
SLMAP	820	457	393	232	86	502	230	300	141	150	266	253
LOC116507315	0	0	0	0	0	0	0	0	0	0	0	0
GRIPAP1	1002	225	188	198	86	198	155	151	98	53	156	155
LOC116523669	18	5	5	4	0	0	2	6	0	0	0	2
LOC116523662	123	16	36	10	11	24	14	5	22	0	13	3
NKIRAS2	271	83	65	59	13	94	49	50	103	50	49	54
